geoid,geoid20,year,denom_total_pop,american_indian_native_count,american_indian_native_pct,asian_count,asian_pct,black_count,black_pct,latino_count,latino_pct,native_hawaiian_other_count,native_hawaiian_other_pct,other_race_count,other_race_pct,pop_two_or_more_count,pop_two_or_more_pct,white_count,white_pct
1400000US06037115103,6037115103,2020,3181,0,0,532,16.7243,476,14.963848,1068,33.574348,0,0,8,0.25149325,159,4.9984283,938,29.487583
1400000US06037115104,6037115104,2020,4619,0,0,1027,22.234249,824,17.839359,1168,25.28686,0,0,0,0,128,2.7711625,1472,31.86837
1400000US06037115202,6037115202,2020,6393,0,0,879,13.749413,529,8.2746754,3054,47.771,0,0,0,0,322,5.0367589,1609,25.168152
1400000US06037115203,6037115203,2020,2652,0,0,221,8.333333,33,1.2443439,1082,40.799397,0,0,0,0,0,0,1316,49.622925
1400000US06037115204,6037115204,2020,4054,0,0,608,14.997533,539,13.29551,782,19.289591,0,0,0,0,129,3.1820424,1996,49.235325
1400000US06037115301,6037115301,2020,4648,0,0,1387,29.840792,172,3.7005165,915,19.685886,0,0,44,0.94664371,115,2.4741824,2015,43.351978
1400000US06037115302,6037115302,2020,3835,0,0,377,9.8305082,158,4.1199479,2822,73.585396,0,0,8,0.20860496,12,0.31290743,458,11.942634
1400000US06037115401,6037115401,2020,6185,0,0,1035,16.734034,209,3.379143,2850,46.079224,0,0,0,0,139,2.2473726,1952,31.560226
1400000US06037115403,6037115403,2020,3597,0,0,544,15.123714,282,7.8398666,2167,60.244648,0,0,19,0.52821797,142,3.9477341,443,12.315819
1400000US06037115404,6037115404,2020,2897,0,0,484,16.706938,242,8.3534689,1367,47.186745,0,0,19,0.65585089,184,6.351398,601,20.7456
1400000US06037117101,6037117101,2020,5094,0,0,1570,30.820574,430,8.4413033,1901,37.318413,0,0,25,0.49077347,297,5.8303885,871,17.098547
1400000US06037117102,6037117102,2020,2745,6,0.21857923,334,12.167578,54,1.9672132,1704,62.076504,0,0,34,1.2386156,25,0.91074681,588,21.420765
1400000US06037117201,6037117201,2020,5126,0,0,674,13.148654,92,1.7947718,3566,69.566917,0,0,78,1.5216544,193,3.7651191,523,10.202888
1400000US06037117202,6037117202,2020,2857,0,0,502,17.570879,180,6.3003149,1182,41.37207,0,0,0,0,110,3.8501925,883,30.906546
1400000US06037117301,6037117301,2020,3679,0,0,630,17.124218,67,1.8211471,1325,36.015221,0,0,21,0.57080728,76,2.0657787,1560,42.402828
1400000US06037117302,6037117302,2020,4932,11,0.22303325,1080,21.89781,404,8.1914034,1141,23.13463,116,2.3519871,17,0.34468776,163,3.3049474,2000,40.551502
1400000US06037117303,6037117303,2020,4369,15,0.343328,609,13.939116,166,3.7994964,2314,52.964066,0,0,20,0.45777065,65,1.4877546,1180,27.008469
1400000US06037117404,6037117404,2020,5646,0,0,616,10.910379,403,7.1377969,2589,45.855473,0,0,0,0,198,3.5069075,1840,32.589443
1400000US06037117405,6037117405,2020,3421,0,0,27,0.78924292,96,2.8061969,3177,92.867584,0,0,0,0,0,0,121,3.5369775
1400000US06037117407,6037117407,2020,3715,0,0,96,2.5841184,70,1.884253,3505,94.347244,0,0,0,0,26,0.6998654,18,0.48452219
1400000US06037117408,6037117408,2020,2803,0,0,265,9.4541559,324,11.559044,2060,73.492683,0,0,0,0,22,0.78487337,132,4.70924
1400000US06037117510,6037117510,2020,3661,0,0,236,6.4463263,113,3.0865884,2928,79.978149,0,0,0,0,0,0,384,10.488937
1400000US06037117520,6037117520,2020,4226,0,0,269,6.3653574,193,4.5669665,3487,82.513016,0,0,0,0,27,0.63890201,250,5.9157596
1400000US06037117530,6037117530,2020,6231,0,0,887,14.235275,31,0.49751243,4976,79.858772,0,0,0,0,74,1.1876104,263,4.2208314
1400000US06037119001,6037119001,2020,4583,43,0.93825006,905,19.746891,12,0.26183721,3141,68.535896,0,0,0,0,9,0.19637792,473,10.32075
1400000US06037119003,6037119003,2020,4425,0,0,225,5.0847459,173,3.9096045,3843,86.847458,0,0,0,0,79,1.7853107,105,2.3728814
1400000US06037119004,6037119004,2020,3353,0,0,340,10.140173,35,1.0438414,2840,84.700272,0,0,8,0.23859231,23,0.6859529,107,3.1911721
1400000US06037119201,6037119201,2020,4426,49,1.1070944,198,4.4735651,31,0.70040667,3861,87.23452,0,0,0,0,23,0.5196566,264,5.9647536
1400000US06037119202,6037119202,2020,4756,40,0.84104288,135,2.8385198,28,0.58873004,4374,91.96804,0,0,0,0,3,0.063078217,176,3.7005887
1400000US06037119310,6037119310,2020,4297,6,0.1396323,743,17.291134,293,6.8187108,2540,59.111008,0,0,0,0,1,0.023272051,714,16.616243
1400000US06037119320,6037119320,2020,4735,0,0,855,18.057022,225,4.7518477,3423,72.291443,0,0,0,0,19,0.40126717,213,4.4984159
1400000US06037119340,6037119340,2020,4031,0,0,77,1.9101959,242,6.0034733,3662,90.845947,0,0,0,0,0,0,50,1.240387
1400000US06037119341,6037119341,2020,2825,0,0,624,22.088495,111,3.9292035,1835,64.95575,0,0,9,0.31858408,0,0,246,8.7079649
1400000US06037119342,6037119342,2020,3009,15,0.49850449,424,14.09106,50,1.6616817,2273,75.540047,0,0,0,0,11,0.36556995,236,7.8431373
1400000US06037119400,6037119400,2020,5564,0,0,502,9.0222864,62,1.1143062,4458,80.122215,0,0,9,0.16175413,86,1.5456506,447,8.0337887
1400000US06037119700,6037119700,2020,4925,0,0,1167,23.695431,70,1.4213198,1997,40.548222,0,0,5,0.10152284,106,2.1522841,1580,32.081219
1400000US06037119801,6037119801,2020,2648,0,0,415,15.672205,58,2.1903324,1738,65.634438,0,0,0,0,1,0.037764352,436,16.465258
1400000US06037119802,6037119802,2020,3340,0,0,558,16.706587,7,0.20958084,2509,75.119759,24,0.7185629,81,2.4251497,0,0,161,4.8203592
1400000US06037119900,6037119900,2020,5123,43,0.83935195,967,18.875658,47,0.91743118,3638,71.013077,0,0,5,0.097599059,54,1.0540699,369,7.2028108
1400000US06037120010,6037120010,2020,2796,0,0,331,11.838341,92,3.2904148,2149,76.859802,0,0,0,0,6,0.21459228,218,7.7968526
1400000US06037120020,6037120020,2020,3872,0,0,494,12.758265,425,10.976239,2768,71.487602,0,0,0,0,21,0.54235536,164,4.2355371
1400000US06037120030,6037120030,2020,2500,0,0,120,4.8000002,33,1.3200001,2174,86.959999,0,0,0,0,0,0,173,6.9200001
1400000US06037120103,6037120103,2020,3376,0,0,101,2.9917061,41,1.214455,3167,93.809242,0,0,0,0,0,0,67,1.9845972
1400000US06037120104,6037120104,2020,2243,0,0,325,14.489523,195,8.6937141,1445,64.422646,0,0,11,0.49041462,71,3.1654034,196,8.7382965
1400000US06037120105,6037120105,2020,2694,0,0,438,16.258352,31,1.1507052,2066,76.688942,0,0,0,0,11,0.40831476,148,5.4936895
1400000US06037120106,6037120106,2020,4519,0,0,737,16.308918,57,1.261341,3617,80.039833,1,0.022128789,0,0,0,0,107,2.3677804
1400000US06037120107,6037120107,2020,4060,0,0,364,8.965517,63,1.5517242,3488,85.911331,5,0.12315271,0,0,12,0.2955665,128,3.1527092
