,FIPS,Walkability,Percentage of without vehicle,geometry,Percentage of public transportation
30,06037103101,-2.484353,2.4,"POLYGON ((-118.316408216239 34.2752238776132, -118.316420217043 34.2776348771779, -118.317156216631 34.2787818773451, -118.311687216689 34.2787338776202, -118.306349215858 34.2820178788029, -118.305920215569 34.2787878779667, -118.296982213712 34.2788118787492, -118.299761213538 34.2767108781883, -118.299708214104 34.2752668787029, -118.30320721419 34.2733388775298, -118.302765214268 34.272005877704, -118.297929213133 34.2668538772823, -118.302683213427 34.2669358767295, -118.30704821411 34.2669498769698, -118.311412215508 34.2669658770801, -118.314007215124 34.266971876394, -118.315739215401 34.2669758761819, -118.31574621566 34.2705308772644, -118.31575121657 34.2724018769301, -118.314804216615 34.2738088769992, -118.315037216776 34.2742038770269, -118.31732221724 34.2736368771436, -118.316408216239 34.2752238776132))",0.0
31,06037109500,-0.346441,2.3,"POLYGON ((-118.455313240255 34.2793408699291, -118.452359239612 34.2814588700623, -118.45113923967 34.2803008703787, -118.447060238804 34.2764468695198, -118.443746237297 34.2733148694782, -118.442033238133 34.2745778697388, -118.435707237328 34.2792998713032, -118.434004236363 34.2778748712564, -118.433626236681 34.2778208710271, -118.433788236647 34.2774578704786, -118.435216236474 34.2760308702584, -118.440172236218 34.2671888693211, -118.440889236571 34.267057869589, -118.443278236908 34.2666228689404, -118.444976237463 34.268335869052, -118.447410238207 34.2706568695108, -118.447844238269 34.2711268691861, -118.45002823883 34.2740618697528, -118.45014323902 34.2741968697016, -118.455224240315 34.2792208697751, -118.455313240255 34.2793408699291))",3.82
32,06037104105,-0.23343,5.6,"POLYGON ((-118.411698232962 34.2736908714518, -118.408414232181 34.2760848724577, -118.405129231539 34.2784798724435, -118.401845231528 34.2808738731962, -118.400861230923 34.2815908735392, -118.398428230688 34.2792958731968, -118.397616230755 34.2786888731931, -118.39869323109 34.277894873063, -118.401977230556 34.2754998721109, -118.403291230758 34.2745418726575, -118.406554231925 34.2721598716396, -118.408544231448 34.2707108717137, -118.411698232962 34.2736908714518))",11.65
33,06037109300,-1.363812,4.0,"POLYGON ((-118.487113244862 34.2701298668489, -118.486953244532 34.2719358667617, -118.486114244907 34.276654867918, -118.485793245517 34.2778348674602, -118.484663244834 34.2791738678127, -118.480294243926 34.279145868106, -118.481183244591 34.2765528682647, -118.480365243551 34.2718928671599, -118.475994243318 34.2718638679859, -118.47194124224 34.2718358682444, -118.472055241757 34.2658778673183, -118.479721242831 34.2659558673347, -118.480243243114 34.2660188665672, -118.48398324382 34.2671988667219, -118.487092244382 34.2694698665393, -118.487113244862 34.2701298668489))",3.79
34,06037104108,-1.020015,16.1,"POLYGON ((-118.406554231925 34.2721598716396, -118.403291230758 34.2745418726575, -118.401977230556 34.2754998721109, -118.39869323109 34.277894873063, -118.397616230755 34.2786888731931, -118.397590230617 34.2786728733391, -118.396120230793 34.2779698726187, -118.3920832293 34.2774358733709, -118.38912622888 34.2769978729023, -118.386708228742 34.2760748735085, -118.389006228502 34.2731978726838, -118.393806229697 34.2735408723637, -118.396898230429 34.2725628725429, -118.397716230052 34.2733278726627, -118.400419230311 34.2713588719743, -118.40114823049 34.2665938716293, -118.401924230493 34.2646628712826, -118.405080231101 34.2675618710078, -118.408544231448 34.2707108717137, -118.406554231925 34.2721598716396))",6.65
35,06037101122,-2.995846,0.7,"POLYGON ((-118.30320721419 34.2733388775298, -118.299708214104 34.2752668787029, -118.299761213538 34.2767108781883, -118.296982213712 34.2788118787492, -118.289911212629 34.2789508792189, -118.290237211511 34.2710048784912, -118.28562821148 34.2705458783127, -118.285283210712 34.2664388783748, -118.281678209943 34.2660158783934, -118.278965210143 34.2665458789136, -118.279495209818 34.2636348785109, -118.277297208772 34.2636348778944, -118.277434208575 34.2599078782017, -118.278137209307 34.2576068776376, -118.2781792091 34.2557728771827, -118.284992209787 34.2558938772334, -118.284925210278 34.262467878108, -118.286498210882 34.2628018778641, -118.288479210665 34.2628248778884, -118.291321211961 34.2628588769495, -118.297931212914 34.2632268771211, -118.297929213133 34.2668538772823, -118.302765214268 34.272005877704, -118.30320721419 34.2733388775298))",0.0
36,06037980021,-4.660792,0.0,"POLYGON ((-118.40114823049 34.2665938716293, -118.400419230311 34.2713588719743, -118.397716230052 34.2733278726627, -118.396898230429 34.2725628725429, -118.393806229697 34.2735408723637, -118.389006228502 34.2731978726838, -118.386708228742 34.2760748735085, -118.38912622888 34.2769978729023, -118.379040226997 34.2745128733192, -118.373025225657 34.2739068741815, -118.361459224099 34.2731818740361, -118.361521224366 34.2722428743328, -118.360303223251 34.2713898743593, -118.359305223567 34.271470874314, -118.359039223023 34.2712968744805, -118.358358223657 34.2715738748585, -118.35618822355 34.2725198749191, -118.353021222575 34.2720988748909, -118.345093221345 34.2710778754909, -118.342807221126 34.2705348753432, -118.339463220133 34.2690258751157, -118.335816218664 34.2657838755214, -118.343236220739 34.2678028753694, -118.347335220839 34.2678618750287, -118.35008222174 34.2659598744374, -118.354063222601 34.2667298744492, -118.354218221879 34.2659328743888, -118.364191223568 34.2661788735315, -118.36549122436 34.2659758734046, -118.369296224067 34.2628368726837, -118.371210224496 34.2603308725413, -118.373191225086 34.2581048724376, -118.375569224531 34.2567918722922, -118.378073225369 34.2552558711175, -118.38181222595 34.2555708710038, -118.382677226407 34.2543428715117, -118.384722226161 34.2562738712586, -118.387353226851 34.2566768716317, -118.387626227381 34.256718871295, -118.390910227695 34.257211871362, -118.390473227741 34.257538870981, -118.396013228517 34.2587398708875, -118.398962229405 34.2618638713921, -118.401924230493 34.2646628712826, -118.40114823049 34.2665938716293))",0.0
37,06037109400,-1.692467,0.8,"POLYGON ((-118.467000241325 34.2686158679563, -118.466300241482 34.2693288676676, -118.462952240798 34.271552868303, -118.458907240708 34.2716888687213, -118.455384239901 34.2715528689128, -118.454171239421 34.2716638688672, -118.452692239281 34.2721848690839, -118.45002823883 34.2740618697528, -118.447844238269 34.2711268691861, -118.447410238207 34.2706568695108, -118.444976237463 34.268335869052, -118.443278236908 34.2666228689404, -118.448357238283 34.2658578688518, -118.458593240014 34.2657558680774, -118.459736239745 34.2657628682565, -118.467311241157 34.2658458679981, -118.467000241325 34.2686158679563))",9.41
38,06037104701,0.487324,9.4,"POLYGON ((-118.421341233947 34.2666568705368, -118.4192842335 34.2681568704934, -118.418266233261 34.2688998710252, -118.416225232922 34.2703888709126, -118.414984232692 34.2712948715297, -118.411698232962 34.2736908714518, -118.408544231448 34.2707108717137, -118.413073232199 34.2674088710813, -118.416132233066 34.2651778705685, -118.418745233201 34.2632708698872, -118.421913233407 34.2662398698446, -118.421341233947 34.2666568705368))",8.25
39,06037104401,-1.483402,10.0,"POLYGON ((-118.440172236218 34.2671888693211, -118.434570236341 34.2684798694507, -118.428773235295 34.2723678701184, -118.425277234242 34.2690648700447, -118.430359234661 34.2653568693603, -118.43528323592 34.2617648693082, -118.438437235821 34.264742868776, -118.440889236571 34.267057869589, -118.440172236218 34.2671888693211))",6.66
